,Group.1,Group.2,Group.3,Group.4,x
1,surveillance,Admin Map,,,4.1421
2,sabotage,Communications Disabled,,,3.0762
3,emergency,Emergency Meeting,,,8.5179
4,sabotage,Fix Lights,,,3.2192
5,sabotage,Oxygen Depletion [1],,,3.6468
6,sabotage,Reactor Meltdown [2],,,2.4114
7,surveillance,Security Camera,,,2.7080
8,vents,vent@admin,,,3.0886
9,vents,vent@cafeteria,,,6.5070
10,vents,vent@electrical,,,2.3996
11,vents,vent@hallway,,,3.8738
12,vents,vent@lowerengine,,,3.3659
13,vents,vent@navigations [1],,,2.6614
14,vents,vent@navigations [2],,,2.6588
15,vents,vent@reactor [1],,,3.2064
16,vents,vent@reactor [2],,,3.1959
17,vents,vent@security [1],,,3.9693
18,vents,vent@security [2],,,3.1554
19,vents,vent@shields,,,3.2749
20,vents,vent@upperengine,,,4.2858
21,vents,vent@weapons [1],,,5.1201
22,vents,vent@weapons [2],,,6.0627
23,tasks,Fix Wiring [1],Common,,3.7148
24,tasks,Fix Wiring [2],Common,,5.8001
25,tasks,Fix Wiring [3],Common,,4.5769
26,tasks,Fix Wiring [4],Common,,3.4160
27,tasks,Fix Wiring [5],Common,,2.4050
28,tasks,Swipe Card,Common,,4.1114
29,tasks,Fuel Engines Part 1 and 3,Long,,3.8640
30,tasks,Fuel Engines Part 2,Long,,3.1263
31,tasks,Inspect Sample,Long,,3.9158
32,tasks,Start Reactor,Long,,3.2326
33,tasks,Accept Diverted Power Part 2 [1],Short,,2.6564
34,tasks,Accept Diverted Power Part 2 [2],Short,,3.2314
35,tasks,Accept Diverted Power Part 2 [3],Short,,4.1733
36,tasks,Accept Diverted Power Part 2 [4],Short,,3.2184
37,tasks,Accept Diverted Power Part 2 [5],Short,,3.0284
38,tasks,Accept Diverted Power Part 2 [6],Short,,4.2060
39,tasks,Accept Diverted Power Part 2 [8],Short,,3.6413
40,tasks,Align Engine Output (1/2) [1],Short,,3.0684
41,tasks,Align Engine Output (1/2) [2],Short,,2.7709
42,tasks,Callibrate Distributor,Short,,3.2367
43,tasks,Chart Course,Short,,3.5682
44,tasks,Clean O2 Filter,Short,,3.6404
45,tasks,Divert Power Part 1,Short,,2.4013
46,tasks,Download Data Part 2,Short,,4.3286
47,tasks,Stabilize Steering,Short,,3.6769
48,tasks,Unlock Manifolds,Short,,3.1987
49,tasks,Upload Data Part 1 [1],Short,,2.9256
50,tasks,Upload Data Part 1 [2],Short,,3.1213
51,tasks,Upload Data Part 1 [3],Short,,6.1709
52,tasks,Clear Asteroids,Long,Visual,6.4688
53,tasks,Empty Chute Part 1,Long,Visual,3.6381
54,tasks,Empty Garbage Part 1,Long,Visual,6.3721
55,tasks,Submit Scan,Long,Visual,3.9348
56,tasks,Prime Shields,Short,Visual,3.2517
